id	title	start_date	end_date	progress	dependencies	url
"data-model-harmonization Issue #22"	"Agree on data sources"	""	""	0	""	https://github.com/cancerDHC/data-model-harmonization/issues/22
"data-model-harmonization Issue #21"	"Agree on queries"	""	""	0	""	https://github.com/cancerDHC/data-model-harmonization/issues/21
"data-model-harmonization Issue #20"	"Phase 3 first quarter LinkML task list"	""	""	0	""	https://github.com/cancerDHC/data-model-harmonization/issues/20
"data-model-harmonization Issue #19"	"Questions about the Google Sheets representation of CDM v1.0"	""	""	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/19
"data-model-harmonization Issue #18"	"Specimen.analyte_concentration_method name"	""	""	0	""	https://github.com/cancerDHC/data-model-harmonization/issues/18
"data-model-harmonization Issue #17"	"Provide feedback to the Cancer Data Service (CDS) on Minimum Metadata Requirements for Submission"	"2020-10-01"	"2020-12-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/17
"data-model-harmonization Issue #16"	"CDA MVP v0 Deliverables"	"2021-01-01"	"2021-03-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/16
"data-model-harmonization Issue #15"	"Terra Interoperability Model Knowledge Transfer with CCDH"	""	""	0	""	https://github.com/cancerDHC/data-model-harmonization/issues/15
"data-model-harmonization Issue #14"	"Evaluate other extant standards for representing cancer data"	"2021-01-01"	"2021-03-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/14
"data-model-harmonization Issue #13"	"Phase I Retrospective/ Phase II Plan Review"	"2020-10-01"	"2020-12-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/13
"data-model-harmonization Issue #12"	"Bring IDC data model into our pipeline"	"2021-07-01"	"2021-09-30"	0	""	https://github.com/cancerDHC/data-model-harmonization/issues/12
"data-model-harmonization Issue #11"	"Establish a system (resources, processes, roles) for keeping SSDs, ADM, and CDM in sync with upstream node models"	"2021-01-01"	"2021-03-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/11
"data-model-harmonization Issue #10"	"Establish a Github-based workflow for coordinated model development between teams"	"2021-01-01"	"2021-03-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/10
"data-model-harmonization Issue #9"	"Decide on formal implementation language/framework for CRDC-H"	"2020-10-01"	"2020-12-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/9
"data-model-harmonization Issue #8"	"CDM prototype evaluation and refinement"	"2021-01-01"	"2021-03-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/8
"data-model-harmonization Issue #7"	"Finish refactoring Biospecimen and Administrative entities into the CDM"	"2021-01-01"	"2021-03-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/7
"data-model-harmonization Issue #6"	"Update ADM and mappings to include new ICDC Sample properties "	"2021-07-01"	"2021-09-30"	0	""	https://github.com/cancerDHC/data-model-harmonization/issues/6
"data-model-harmonization Issue #5"	"Properties and data types to hold identifiers"	"2020-10-01"	"2020-12-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/5
"data-model-harmonization Issue #4"	"Terminological conventions for developing and documenting our model"	"2021-01-01"	"2021-03-31"	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/4
"data-model-harmonization Issue #3"	"BRIDG and FHIR 'covering model' diagrams"	""	""	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/3
"data-model-harmonization Issue #2"	"BRIDG Mappings for Specimen elements about the anatomical source"	""	""	0	""	https://github.com/cancerDHC/data-model-harmonization/issues/2
"data-model-harmonization Issue #1"	"Sprints toward May CRDC-H Deliverable"	""	""	100	""	https://github.com/cancerDHC/data-model-harmonization/issues/1
"Terminology Issue #35"	"Close 'Terminology' project?"	""	""	100	""	https://github.com/cancerDHC/Terminology/issues/35
"Terminology Issue #34"	"Confirm mappings"	""	""	0	""	https://github.com/cancerDHC/Terminology/issues/34
"Terminology Issue #33"	"Deprecated values and mappings (Question for GDC)"	""	""	0	""	https://github.com/cancerDHC/Terminology/issues/33
"Terminology Issue #32"	"Value-identifier pairs in GDC data dictionary (Question for GDC)"	""	""	0	""	https://github.com/cancerDHC/Terminology/issues/32
"Terminology Issue #31"	"String values vs identifiers in GDC data dictionary (Question for GDC)"	""	""	0	""	https://github.com/cancerDHC/Terminology/issues/31
"Terminology Issue #30"	"Create CCDH "Ontology" "	""	""	0	""	https://github.com/cancerDHC/Terminology/issues/30
"Terminology Issue #29"	"create code set definitions for CCDH fields"	""	""	0	""	https://github.com/cancerDHC/Terminology/issues/29
"Terminology Issue #28"	"get proposed target concept schemes into TCCM representation"	""	""	0	""	https://github.com/cancerDHC/Terminology/issues/28
"Terminology Issue #27"	"MVP concept schemes "	"2021-01-01"	"2021-03-31"	0	""	https://github.com/cancerDHC/Terminology/issues/27
"Terminology Issue #26"	"Implement a tool to manage the permissible value mappings"	"2020-10-01"	"2020-12-31"	0	""	https://github.com/cancerDHC/Terminology/issues/26
"Terminology Issue #25"	"Complete the permissible value mappings for the MVP model"	"2020-10-01"	"2020-12-31"	0	""	https://github.com/cancerDHC/Terminology/issues/25
"Terminology Issue #24"	"Deploy a terminological browser for cancer research"	"2020-10-01"	"2020-12-31"	0	""	https://github.com/cancerDHC/Terminology/issues/24
"Terminology Issue #23"	"Value Set harmonization for the MVP v0 models"	"2020-07-01"	"2020-09-30"	100	""	https://github.com/cancerDHC/Terminology/issues/23
"Terminology Issue #22"	"Design patterns - improve CaDSR patterns"	""	""	0	""	https://github.com/cancerDHC/Terminology/issues/22
"Terminology Issue #21"	"Need strategic set of recommendations for NCI"	""	""	0	""	https://github.com/cancerDHC/Terminology/issues/21
